transaction_id,customer_id,account_id,transaction_amount,transaction_type,transaction_date,branch_id
T001,C101,A1001,5000.0,Debit,2024-01-15,B01
T002,C102,A1002,15000.0,Credit,2024-01-16,B02
T003,C103,A1003,2000.0,Debit,2024-01-17,B03
T004,C101,A1001,3000.0,Debit,2024-01-18,B01
T005,C104,A1004,25000.0,Credit,2024-01-19,B04
T006,C105,A1005,1000.0,Debit,2024-01-20,B05
T007,C102,A1002,8000.0,Debit,2024-01-21,B02
T008,C106,A1006,4500.0,Credit,2024-01-22,B06
T009,C109,A1009,12000.0,Debit,2024-01-23,B03
T010,C107,A1007,7000.0,Credit,2024-01-24,B07
